mnum;f;Zmag;Zphi;Zim;Zre;satur
0;155.8589510381301;7.7263208934575465;108.21060375069102;7.339342172437213;-2.414558142717469;0
0;172.54683558977376;7.932192218776381;106.89369754011652;7.589882866936062;-2.305070814922394;0
0;191.02149907810397;8.195646857212953;102.16670165907553;8.011560695416415;-1.7272876517254994;0
0;211.47425268811284;8.014340670194928;99.99241971229512;7.892768878265228;-1.3906314437076164;0
0;234.11689137519718;8.76736931431349;96.67295727320388;8.7079756976577;-1.0187855233407552;0
0;259.18388707121716;9.128051473290933;92.46856397465251;9.119580673613603;-0.3931565038277224;0
0;286.93481671806546;9.452657529971624;90.12337313123537;9.452635616071897;-0.02035408308750203;0
0;317.65705027182923;9.898794058158165;85.1387520134554;9.86318651264791;0.8388537551610236;0
0;351.66872651270864;10.860908686219279;82.06947958390033;10.757036134083275;1.498502953090225;0
0;389.32204747617334;11.35242091079533;81.61521971682332;11.231076049621924;1.6554127290412644;0
0;431.0069256202747;11.85268549411002;77.92872662766658;11.590601415814323;2.4787319826897583;0
0;477.1550214967208;12.476158488449876;75.48279845751054;12.077825024721436;3.127406801350362;0
0;528.2442137371222;13.410651075456773;73.49824735029713;12.858280392306808;3.8092240181522774;0
0;584.8035476425729;14.214214982538682;70.02331200659968;13.358969847863078;4.856112866657059;0
0;647.4187136208386;14.896081820692748;67.02107069813869;13.71405514235015;5.8153198675010485;0
0;716.7381122021562;15.676992204545217;66.14261130121248;14.337471749977517;6.34074036686317;0
0;793.479568438869;16.715069366715863;63.99619186283883;15.022917784614135;7.3284026343294855;0
0;878.4377652187026;17.744332862245955;61.462547585025426;15.588485523401012;8.477055373943175;0
0;972.4924724660731;18.88227596564908;59.98788797011328;16.350534494674775;9.444594611807279;0
0;1076.6176574474994;20.49601258091657;58.69144697761935;17.511409210246125;10.650684446945068;0
0;1191.89157052131;21.543381956695526;57.34561241846753;18.13824779011405;11.624167636286787;0
0;1319.5079107728934;23.022131360458083;55.05046207185137;18.870248640340275;13.188337599179189;0
0;1460.7881871592756;24.889267039772704;53.91584255269811;20.114330065980955;14.659104330547983;0
0;1617.1954031667476;25.957456185429425;51.244058243123725;20.242132284977313;16.249480366336872;0
0;1790.349206690635;26.740005048919823;49.48257242784991;20.327976154183578;17.37242802521287;0
0;1982.0426620191704;28.564781712877274;48.97272429218094;21.549190692122334;18.750443589922774;0
0;2194.260817600857;30.879180855483206;47.99558839448234;22.946112471052977;20.663971853722302;0
0;2429.201261870623;32.18136297046226;44.978443333732216;22.74709690264838;22.764219844707263;0
0;2689.296879997083;33.87229572419328;41.39611643195399;22.398428836895597;25.40950222388715;0
0;2977.241047204442;36.1462185054496;39.41225610780378;22.94908208658763;27.926488207914183;0
0;3296.015519554173;37.36331013444085;37.74548457726058;22.87213579580748;29.544582385617712;0
0;3648.921311004608;39.71114994533281;36.01039397158366;23.34745603225045;32.122760261267054;0
0;4039.6128764905075;40.20870208355656;33.20733991920037;22.021116489359468;33.64238623828973;0
0;4472.13595499958;42.16876162150963;31.18934176036466;21.83784736769225;36.07371451676525;0
0;4950.969464523386;43.56317184708786;28.28742698294541;20.644368677920433;38.360917393474914;0
0;5481.071882718582;44.304321966601194;26.160637950845732;19.533303028348616;39.76585240785073;0
0;6067.932593565346;45.61583096149559;23.22271949149362;17.98661150224642;41.91999333223941;0
0;6717.628731734538;47.79913441435196;20.749402260682608;16.934338626571726;44.69883025361946;0
0;7436.888113305539;46.78691482517126;16.871562697448038;13.578838455282366;44.773100686273395;0
0;8233.158904502974;48.60181088548986;16.522036531402414;13.82158202221319;46.59506295469676;0
0;9114.686749894863;48.556730449175426;12.976158061060522;10.903199186192232;47.31676573287841;0
0;10090.600158739944;49.93916194886544;12.072602616242623;10.444825056240438;48.834675443782174;0
0;11171.005033687767;49.529902997154274;8.638085533951635;7.4390226547124305;48.96807360771084;0
0;12367.089320707028;49.70682076408594;7.163333089842834;6.198355843708121;49.31884442388867;0
0;13691.238863926617;51.93638543348479;1.2784510200229975;1.1587697373352766;51.92345697843439;0
0;15157.165665103976;49.89240644468058;2.7752310920665813;2.4156896548644364;49.83389072039815;0
0;16780.04987588961;50.013553767860586;1.2104496199949015;1.0565243105671698;50.0023931114488;0
